Year,ID,Title,Rating,Passes,Budget,DBO,IBO,Language,Country,IMDB,Metascore
1988,95497,The Last Temptation of Christ,men,FAIL,13787529,16493007.0,16493007.0,English,"USA, Canada",7.6,8.0
1988,96256,They Live,nowomen,FAIL,7878588,25605411.0,25605411.0,English,USA,7.3,5.2
1988,96320,Twins,men,FAIL,29544705,220475172.0,426625542.0,English,USA,5.9,5.3
1988,96438,Who Framed Roger Rabbit,notalk,FAIL,137875291,303547209.0,692330924.0,English,USA,7.7,8.3
1988,96487,Young Guns,notalk,FAIL,25605411,88095701.0,88095701.0,English,USA,6.8,5.0
1987,92644,Beverly Hills Cop II,notalk,FAIL,41007948,315074388.0,567273267.0,English,USA,6.4,4.8
1987,93105,"Good Morning, Vietnam",notalk,FAIL,26655166,254090104.0,254090104.0,English,USA,7.2,
1987,93177,Hellraiser,ok,PASS,2050397,29861988.0,29861988.0,English,UK,7.1,
1987,93409,Lethal Weapon,notalk,FAIL,30755961,133670224.0,246442080.0,English,USA,7.6,6.7
1987,93773,Predator,nowomen,FAIL,36907153,122481612.0,201487544.0,"English, Spanish",USA,7.9,3.6
1987,93818,Radio Days,notalk,FAIL,32806358,30331075.0,30331075.0,English,USA,7.6,
1987,93870,RoboCop,notalk,FAIL,246047687,112289613.0,454321579.0,English,USA,7.5,6.7
1987,94074,Superman IV: The Quest for Peace,ok,PASS,34856756,23021501.0,23021501.0,"English, Russian, French, Italian","UK, USA",3.6,2.2
1987,93437,The Lost Boys,notalk,FAIL,17428378,66069067.0,66069067.0,English,USA,7.2,6.3
1987,93779,The Princess Bride,men,FAIL,30755961,63269112.0,63269112.0,English,USA,8.2,7.7
1986,90605,Aliens,ok,PASS,36104000,180860331.0,389321020.0,English,"USA, UK",8.5,8.7
1986,91203,Highlander,ok,PASS,33980236,12530212.0,27396565.0,English,UK,7.2,
1986,91419,Little Shop of Horrors,notalk,FAIL,63712942,82290329.0,82290329.0,English,USA,6.9,8.1
1986,91738,Peggy Sue Got Married,ok,PASS,38227765,87887418.0,87887418.0,English,USA,6.3,
1986,91763,Platoon,nowomen,FAIL,12742588,293001649.0,293001649.0,"English, Vietnamese","UK, USA",8.2,
1986,92005,Stand By Me,nowomen,FAIL,16990118,111046165.0,111046165.0,,,,
1986,90848,The Clan of the Cave Bear,ok,PASS,31856471,4149267.0,4149267.0,English,USA,5.3,
1986,92099,Top Gun,men,FAIL,31856471,381854174.0,757760530.0,English,USA,6.8,
1985,88763,Back to the Future,notalk,FAIL,41136059,455981879.0,831110482.0,English,USA,8.5,8.6
1985,88846,Brazil,ok,PASS,32475836,21497131.0,21497131.0,English,UK,8.0,8.8
1985,88944,Commando,notalk,FAIL,21650558,75937118.0,75937118.0,English,USA,6.6,
1985,88993,Day of the Dead,nowomen,FAIL,38971004,,,English,USA,7.2,
1985,89457,Ladyhawke,nowomen,FAIL,43301115,39837026.0,39837026.0,English,USA,6.9,
1985,91578,My Beautiful Laundrette,men,FAIL,866022,,,"English, Urdu",UK,7.0,
1985,89893,Red Sonja,ok,PASS,38754498,14951574.0,14951574.0,English,"Netherlands, USA",4.9,
1985,89908,Return to Oz,ok,PASS,58456506,22990322.0,22990322.0,English,"UK, USA",6.7,4.2
1985,88939,The Color Purple,ok,PASS,32475836,202626921.0,202626921.0,English,USA,7.8,
1984,87800,A nightmare on Elm Street,men,FAIL,78450540,141379105.0,263884353.0,,,,
1984,86879,Amadeus,ok,PASS,40345992,116494634.0,116494634.0,"English, Italian, Latin, German",USA,8.4,9.3
1984,86960,Beverly Hills Cop,nowomen,FAIL,33621660,526202467.0,708968739.0,English,USA,7.3,6.4
1984,86984,Body Double,men,FAIL,22414440,19729056.0,19729056.0,English,USA,6.7,
1984,87298,Friday the 13th Part IV: The Final Chapter,ok,PASS,5827754,73924796.0,73924796.0,,,,
1984,87332,Ghostbusters,notalk,FAIL,67243320,534880544.0,653677077.0,English,USA,7.8,
1984,87363,Gremlins,notalk,FAIL,24655884,332111304.0,332111304.0,"English, Spanish",USA,7.2,
1984,87469,Indiana Jones and the Temple of Doom,nowomen,FAIL,62760432,403191555.0,746580777.0,"English, Sinhalese",USA,7.6,5.7
1984,87995,Repo Man,men,FAIL,3362166,5155321.0,5155321.0,"English, Spanish",USA,6.9,7.5
1984,88161,Splash,notalk,FAIL,17931552,140313263.0,140313263.0,"English, Swedish",USA,6.2,
1984,88170,Star Trek III: The Search for Spock,notalk,FAIL,40345992,171405568.0,195005629.0,"English, Klingon, Russian",USA,6.6,5.5
1984,87538,The Karate Kid,ok,PASS,89657760,395820224.0,804883755.0,"English, Japanese",USA,7.2,
1984,88247,The Terminator,men,FAIL,14345242,85217529.0,174875289.0,"English, Spanish","UK, USA",8.1,8.4
1983,85549,Flashdance,ok,PASS,16375486,211626424.0,471294841.0,English,USA,6.0,3.5
1983,86190,Star Wars: Episode VI - Return of the Jedi,nowomen,FAIL,76029041,723340482.0,1339748672.0,English,USA,8.4,5.2
1983,86393,Superman III,ok,PASS,91234849,140245796.0,140245796.0,"English, Italian, Spanish","UK, USA",4.9,4.2
1983,86541,Videodrome,men,FAIL,13923842,4960460.0,4960460.0,English,Canada,7.3,6.0
1983,86567,WarGames,notalk,FAIL,28072261,174127177.0,174127177.0,English,USA,7.1,
1982,83658,Blade Runner,notalk,FAIL,67571504,78808471.0,79974780.0,"English, German, Cantonese, Japanese, Hungarian","USA, Hong Kong, UK",8.3,8.8
1982,83722,Cat People,ok,PASS,30165850,16892876.0,50678628.0,English,USA,6.0,
1982,82198,Conan the Barbarian,notalk,FAIL,48265360,92341492.0,190923490.0,English,USA,6.9,4.3
1982,83833,Diner,notalk,FAIL,12066340,30390060.0,30390060.0,English,USA,7.2,8.6
1982,83929,Fast Times at Ridgemont High,men,FAIL,10859706,65382380.0,65382380.0,English,USA,7.2,6.7
1982,83944,First Blood,nowomen,FAIL,33785752,113937390.0,302172295.0,English,USA,7.6,6.2
1982,84516,Poltergeist,ok,PASS,25821968,180285645.0,293709241.0,English,USA,7.4,
1982,84522,Porky&#39;s,men,FAIL,9653072,264234708.0,264234708.0,,,,
1982,83642,The Best Little Whorehouse in Texas,ok,PASS,49471994,168208730.0,168208730.0,English,USA,5.7,
1982,84805,Tootsie,notalk,FAIL,36199020,427631090.0,427631090.0,English,USA,7.4,8.7
1982,84827,TRON,nowomen,FAIL,41025556,64961738.0,64961738.0,English,USA,6.8,
1981,82096,Das Boot,nowomen,FAIL,30742635,29430119.0,217684336.0,"German, English, French",West Germany,8.5,8.6
1981,82340,Escape from New York,nowomen,FAIL,15371317,64674049.0,64674049.0,English,"UK, USA",7.2,
1981,82418,Friday the 13th Part 2,notalk,FAIL,3202358,55651281.0,55651281.0,English,USA,6.0,
1981,82495,Halloween II,ok,PASS,6404716,65414737.0,65414737.0,English,USA,6.5,4.4
1981,82509,Heavy Metal,notalk,FAIL,23825542,50138908.0,50138908.0,English,Canada,6.7,
1981,82517,History of the World: Part I,notalk,FAIL,28180748,81140060.0,81140060.0,"English, Latin, French",USA,6.8,
1981,82971,Raiders of the Lost Ark,nowomen,FAIL,51237724,635757611.0,998945973.0,"English, German, Hebrew, Spanish, Arabic, Nepali",USA,8.6,9.0
1981,83907,The Evil Dead,notalk,FAIL,960707,6148527.0,75319455.0,English,USA,7.6,7.0
1981,81633,Time Bandits,notalk,FAIL,30742635,95814545.0,95814545.0,English,UK,7.0,
1980,80492,Can&#39;t Stop the Music,ok,PASS,56555357,5655536.0,5655536.0,,,,
1980,80716,Fame,ok,PASS,50899822,63498970.0,220444178.0,"English, Spanish, French",USA,6.5,
1980,80761,Friday the 13th,men,FAIL,48072054,183810620.0,259308493.0,English,USA,6.5,
1980,80855,Heaven&#39;s Gate,nowomen,FAIL,124421786,9852879.0,9852879.0,,,,
1980,81375,Private Benjamin,ok,PASS,42416518,197512086.0,197512086.0,English,USA,6.0,
1980,81398,Raging Bull,notalk,FAIL,50899822,66113787.0,66113787.0,English,USA,8.3,9.2
1980,81534,Somewhere in Time,men,FAIL,14421616,27456486.0,27456486.0,English,USA,7.3,2.9
1980,80684,Star Wars: Episode V - The Empire Strikes Back,nowomen,FAIL,65038661,820821721.0,1510514303.0,English,USA,8.8,7.8
1980,80455,The Blues Brothers,notalk,FAIL,76349732,161832844.0,161832844.0,English,USA,8.0,
1980,80749,The Fog,ok,PASS,50899822,83450574.0,104764631.0,English,USA,6.8,
1980,81505,The Shining,men,FAIL,53727589,124470916.0,124470916.0,English,"UK, USA",8.5,6.1
1979,78748,Alien,ok,PASS,28886103,259752278.0,653566146.0,"English, Spanish","USA, UK",8.5,8.3
1979,78788,Apocalypse Now,nowomen,FAIL,101101360,252913878.0,252913878.0,"English, French, Vietnamese, Khmer",USA,8.5,9.0
1979,79574,Moonraker,notalk,FAIL,99496576,225632559.0,674971936.0,"English, Italian","UK, France",6.2,
1979,79945,Star Trek: The Motion Picture,notalk,FAIL,112334844,264014024.0,446129810.0,"English, Klingon",USA,6.3,4.8
1979,78767,The Amityville Horror,ok,PASS,59376989,209370867.0,350406635.0,English,USA,6.2,
1978,77975,Animal House,men,FAIL,10712118,505611968.0,505611968.0,"English, Italian",USA,7.7,8.2
1978,77402,Dawn of the Dead,nowomen,FAIL,99979768,210638678.0,369399800.0,English,"Italy, USA",8.1,
1978,77405,Days of Heaven,ok,PASS,10712118,12307327.0,13071926.0,"English, Italian",USA,8.0,9.3
1978,77631,Grease,ok,PASS,21424236,649203517.0,1383697739.0,English,USA,7.2,7.0
1978,77713,I Spit on Your Grave,nowomen,FAIL,6248735,332258.0,4565044.0,English,USA,5.6,
1978,78346,Superman,notalk,FAIL,196388829,479253080.0,1071925937.0,English,"USA, UK",7.4,8.6
1978,77416,The Deer Hunter,notalk,FAIL,53560590,178535299.0,178535299.0,"English, Russian, Vietnamese, French","UK, USA",8.2,7.3
1977,75784,A Bridge Too Far,notalk,FAIL,99921804,195231833.0,195231833.0,"English, German, Dutch, Polish, Latin","USA, UK",7.4,
1977,75686,Annie Hall,ok,PASS,15372585,147005823.0,147005823.0,"English, German",USA,8.2,
1977,75860,Close Encounters of the Third Kind,notalk,FAIL,76862926,637962288.0,1297830510.0,"English, French, Spanish, Hindi",USA,7.7,9.1
1977,74486,Eraserhead,nowomen,FAIL,384315,26902024.0,26902024.0,English,USA,7.4,
1977,76141,High Anxiety,notalk,FAIL,13066697,119379800.0,119379800.0,English,USA,6.7,
1977,76245,Julia,ok,PASS,23058878,250220.0,5246310.0,"English, French, German, Russian",USA,7.5,
1977,76759,Star Wars,notalk,FAIL,42274609,1771682790.0,3066446442.0,,,,
1976,74156,Assault on Precinct 13,notalk,FAIL,122754817,82003880.0,147473116.0,English,USA,7.4,
1976,74512,Family Plot,ok,PASS,12275482,54012120.0,54012120.0,English,USA,6.8,
1976,74812,Logan&#39;s Run,men,FAIL,28642791,102295681.0,102295681.0,,,,
1976,74958,Network,ok,PASS,15548943,96934884.0,96934884.0,English,USA,8.2,
1976,75148,Rocky,notalk,FAIL,4091827,479705967.0,920661128.0,English,USA,8.1,
1976,75222,Silent Movie,notalk,FAIL,18004040,147901939.0,147901939.0,,USA,6.6,
1976,75249,Sparkle,ok,PASS,40918272,99830228.0,100905781.0,English,USA,7.1,
1976,75314,Taxi Driver,notalk,FAIL,4091827,115645570.0,115645570.0,"English, Spanish",USA,8.4,9.3
1975,72684,Barry Lyndon,notalk,FAIL,47609104,86562007.0,86562007.0,"English, German, French","UK, USA",8.1,
1975,73195,Jaws,notalk,FAIL,51937204,1125306085.0,2037236823.0,English,USA,8.1,7.9
1975,71853,Monty Python and the Holy Grail,men,FAIL,1731240,14835412.0,21765791.0,"English, French, Latin",UK,8.4,9.0
1975,73486,One Flew Over the Cuckoo&#39;s Nest,men,FAIL,19043641,471681892.0,471681892.0,,,,
1974,71222,Black Christmas,ok,PASS,42513535,76693179.0,76693179.0,English,Canada,7.3,
1974,71230,Blazing Saddles,notalk,FAIL,12281688,564485269.0,564485269.0,"English, Yiddish, German",USA,7.8,
1974,71360,The Conversation,notalk,FAIL,7557962,20878869.0,20878869.0,English,USA,8.0,8.6
1974,71562,The Godfather: Part II,ok,PASS,61408439,270669505.0,270669505.0,"English, Italian, Spanish, Latin, Sicilian",USA,9.1,8.0
1974,72271,The Texas Chain Saw Massacre,notalk,FAIL,661322,125520924.0,125520924.0,English,USA,7.5,7.5
1974,72308,The Towering Inferno,notalk,FAIL,661322,125520924.0,125520924.0,English,USA,6.9,
1974,72431,Young Frankenstein,men,FAIL,13226433,407657562.0,407657562.0,"English, German",USA,8.1,
1973,69704,American Graffiti,men,FAIL,4074506,603047833.0,734145189.0,English,USA,7.5,
1973,68699,High Plains Drifter,notalk,FAIL,82329139,82329139.0,82329139.0,English,USA,7.7,
1973,70707,Sleeper,notalk,FAIL,10487788,96197818.0,96197818.0,"English, Yiddish",USA,7.3,
1973,70047,The Exorcist,ok,PASS,62926730,1074306128.0,2111900435.0,"English, Latin, Greek, French, German, Arabic",USA,8.0,8.2
1973,70735,The Sting,notalk,FAIL,28841418,837011132.0,837011132.0,English,USA,8.4,
1972,68156,1776,notalk,FAIL,22288557,,,English,USA,7.6,
1972,69089,Pink Flamingos,ok,PASS,66866,2305762.0,2305762.0,English,USA,6.1,
1972,68646,The Godfather,notalk,FAIL,39004975,752051643.0,1496119403.0,"English, Italian, Latin",USA,9.2,10.0
1971,67065,Escape from the Planet of the Apes,notalk,FAIL,14386286,70780525.0,70780525.0,English,USA,6.2,
1971,67741,Shaft,notalk,FAIL,305063707,404702718.0,616827003.0,English,USA,6.6,
1971,67800,Straw Dogs,notalk,FAIL,143862856,59412143.0,64760273.0,English,"USA, UK",7.6,
1971,67116,The French Connection,notalk,FAIL,12659931,236848653.0,236848653.0,"English, French",USA,7.8,9.6
1971,67992,Willy Wonka &amp; the Chocolate Factory,men,FAIL,17263543,23018057.0,23018057.0,,,,
1970,65466,Beyond the Valley of the Dolls,ok,PASS,5997631,53978683.0,53978683.0,English,USA,6.2,
